Avg_monthly_expense_when_under_age_21,Avg_lottary_expanses,Age_group,Avg_monthly_expense_on_pets_or_plants,Looking_at_poles_results,Avg_environmental_importance,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Yearly_IncomeK,Avg_size_per_room,Garden_sqr_meter_per_person_in_residancy_area,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Avg_education_importance,Avg_Satisfaction_with_previous_vote,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_government_satisfaction,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Most_Important_Issue,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Financial_agenda_matters,Num_of_kids_born_last_10_years,Overall_happiness_score,Vote
542.4211757,11507.86091,2.0,32881.99948,0.0,453.3842676,1.0,1.0,1.0,0.674202532,0.759055108,,331.9871338,77.97531893,1300.4461509999999,195.939993,76.38907079,18.22051409,9.636000000000001,34459.604810000004,2.0,4050.964587,2.9587124310000004,63.64718836,27.98221603,180.80705859999998,100.0,0.0,14.0,509.96050080000003,3.0,3.0,0.0,1.0,1.0,296.4622566,1
124.51795890000001,17472.23668,2.0,1774.252884,1.0,720.3746583999999,1.0,1.0,0.0,0.467072505,0.7615651790000001,9168.0,457.68611050000004,77.77774143,5124.942512,895.4156767999999,94.53213934,21.39359976,0.8320000000000001,56023.78531,0.0,177204.8204,9.098263301,420.9570291,29.07310138,41.50598628,60.0,2.0,8.0,95.44131943,1.0,3.0,4.0,1.0,1.0,532.7229119,9
486.9462098,79099.95919,0.0,26518.60554,1.0,689.0040842999999,1.0,1.0,0.0,0.98562917,0.824191888,5963.0,394.6285369,15.32240761,5662.482757,881.8323396,77.77333774,19.86525955,4.037,52969.64925,2.0,237483.2856,8.523054407,487.3225683,19.60474942,162.3154033,100.0,0.0,14.0,127.25418640000001,3.0,3.0,2.0,1.0,1.0,570.2122883999999,9
229.37922949999998,30015.120810000004,0.0,5932.552065999999,0.0,628.7524503,1.0,0.0,1.0,0.33804003299999996,0.927900465,3566.0,388.6038089,94.905148,4702.818609,170.9110513,77.51029059,19.71303652,,48790.47737,2.0,154104.2165,3.066783955,392.56109910000004,25.2151652,76.45974315,70.0,7.0,11.0,156.11611069999998,2.0,3.0,1.0,0.0,1.0,479.50582479999997,9
-213.8808123,-20804.73784,2.0,5021.4843789999995,0.0,767.5740524,1.0,0.0,0.0,0.09224538800000001,0.041504568,6372.0,601.2003243,57.617751299999995,4120.577967,385.48780350000004,67.18293382,24.5193867,7.627999999999999,62133.27881,0.0,85157.58862000001,6.431467767999999,291.81773189999996,0.704500172,-71.29360408,60.0,2.0,9.0,254.33338179999998,2.0,2.0,3.0,1.0,2.0,394.6239747,12
588.9584641,70909.13837999999,0.0,38747.66087,0.0,589.1236994,1.0,1.0,0.0,0.953845756,0.488719138,3477.0,365.9565829,84.92915921,4343.838761,,91.84887819,19.12999171,6.523,45704.402010000005,2.0,130460.0651,6.990272893999999,361.19255960000004,96.04062138,196.31948799999998,90.0,1.0,11.0,200.034496,1.0,3.0,2.0,1.0,0.0,447.28703770000004,9
596.804873,129399.65800000001,2.0,39784.052339999995,0.0,819.5893687000001,0.0,1.0,1.0,0.507978141,0.92743516,3022.0,519.7048618,94.9715578,7544.031108,408.55370580000005,68.1427015,22.79703625,8.978,65827.44914,1.0,423100.9936,5.285332631,650.4621384999999,86.11965494,198.93495769999998,50.0,6.0,9.0,168.66144069999999,3.0,2.0,3.0,1.0,0.0,573.6175584,8
1487.641572,466686.6012,2.0,246403.3748,,1028.087972,0.0,0.0,1.0,0.5777149,0.178743039,3467.0,539.5354943,54.35593654,10490.34202,905.6438132999999,30.442357899999998,23.22790336,10.533,79788.09285,2.0,885720.2241,3.3751037110000004,941.1271031,59.40727894,,70.0,7.0,9.0,594.6392252999999,1.0,1.0,1.0,1.0,0.0,896.7866326999999,0
355.1620848,52870.51644,1.0,14143.95475,1.0,635.7018103999999,1.0,0.0,1.0,0.953317675,0.680864045,4914.0,392.24073839999994,64.27709355,5250.37342,93.55396498,65.69638362,19.8050685,5.086,49920.48179,2.0,199441.9085,5.399603043,446.5891943,95.64188397,118.38736159999999,60.0,2.0,8.0,122.6305738,2.0,2.0,2.0,0.0,3.0,476.0524529,9
199.55999,32994.01392,2.0,4501.429953,1.0,703.4086239,1.0,0.0,1.0,0.276818422,0.074225775,9162.0,468.05652089999995,61.55331312,5896.12741,114.94129709999999,90.42144187,21.63461395,0.838,56574.196220000005,0.0,246017.4253,6.530868195,496.00143679999996,62.10313539,66.51999666,60.0,2.0,6.0,47.46916944,3.0,3.0,1.0,0.0,0.0,465.1152228,11
