Vote,Yearly_IncomeK,Avg_size_per_room,Avg_Satisfaction_with_previous_vote,Weighted_education_rank,Avg_monthly_income_all_years,Most_Important_Issue,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Overall_happiness_score
9,0.8250928836810516,-0.2762150336034614,-1.6146587696139245,-0.07318284269251399,-0.5024599831071628,2,-0.2756627980074425,-0.8165490162646848,-0.27795644642072476
5,0.9102600743069447,-0.5033578121757617,-1.0979371846828483,-0.6068693628113836,0.1848426996953966,6,-0.6491997815702819,-0.2767792583259613,-0.1645179780344878
6,-0.44355530151471845,0.9717451317283448,-0.266993014320712,0.8792104836672366,0.1316186725411098,0,-0.6533335642419849,-0.2925892966355483,0.02503036465901091
1,0.9982852243498144,-1.8185939334809014,0.022941835038382003,-1.4658325315305587,-0.4983817374802997,4,0.8573495006961847,2.0081035011501562,-2.1851122275803014
2,0.13032294941411826,0.23971247596249068,-0.8766151897270582,-0.6442099500377079,0.8077580802521268,2,0.1020079682270999,-0.223160448777083,0.6240864040555245
1,-0.5212917976564733,-1.4224059054304021,1.6371654937214213,-1.464384021863101,0.1491586959180049,7,0.1020079682270999,1.7444170763431317,-2.0460024230253957
9,0.27579308373821076,-0.16229189886736137,-1.0311459104849416,-0.21539052826338723,0.30402351176416403,2,0.4796787344616423,-0.8271683493702304,0.08912762813374345
4,0.621320377250643,-0.4202674040136091,-1.3981943218725277,-0.4588218893770632,0.7167249103338033,4,-1.4086750967110695,-0.35880460567089933,-0.5006891565319849
9,-0.337239211203201,-0.44435992729151746,-0.37993098705535405,0.022809648206333303,-0.546856759742336,1,1.6126910331652693,-0.7806353061979252,0.1521062276010303
2,-0.9628465275793084,0.21107262099730845,-0.8351013744490361,-0.74237928804643,-0.7596699824970219,7,0.1020079682270999,-0.16123969605760824,0.5524941928387587
5,0.9854244069734208,-0.2760237465429584,-1.1777831170194364,-0.3711272875972781,-0.1376931518373899,6,0.1020079682270999,-0.609067933295974,-0.20812801178850743
1,-0.17490711631894817,-0.4759677788280618,1.2692062922311367,-0.7509451807768928,-0.15407474079048505,7,-1.0876534435525402,0.03855594407977854,-0.74391323934177
12,-0.9291226064589883,0.4731295743464338,1.4632045841059649,-0.5983718859296435,1.5621773150564677,1,0.4796787344616423,-0.23178351739024106,0.6347855340376479
